#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-19T00:44:25 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-19T00:44:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/505/5978/tablea1&-order=I&-out=Name&-out=OName&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=corr&-out=plx&-out=e_plx&-out=Rscale&-out=Nstar&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75055978
#Name: J/MNRAS/505/5978
#Title: Gaia EDR3 view on Galactic globular clusters (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.505.5978V	    Article or Data origin sources
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/505/5978	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75055978	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_505_5978_tablea1:
#Name: J/MNRAS/505/5978/tablea1
#Title: The catalogue of cluster proper motions
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a12)	Common name, NGC identifier, etc.	[ucd=meta.id;meta.main]
#Column	OName	(a10)	Other name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F7.3)	Uncertainty (including systematic) in pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F7.3)	Uncertainty (including systematic) in pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	corr	(F7.2)	Correlation coefficient between uncertainties	[ucd=stat.fit.param]
#Column	plx	(F7.3)	Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.3)	Uncertainty (including systematic) in plx	[ucd=stat.error;pos.parallax]
#Column	Rscale	(F7.2)	Scale radius of Gaia-detected cluster members	[ucd=phys.angSize]
#Column	Nstar	(I5)	Number of Gaia-detected cluster member stars	[ucd=meta.number]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;OName;RAJ2000;DEJ2000;pmRA;e_pmRA;pmDE;e_pmDE;corr;plx;e_plx;Rscale;Nstar;SimbadName
263.35200;-33.39000;Liller 1    ;          ;263.352;-33.390; -5.403;  0.109; -7.431;  0.077;   0.30; -0.089;  0.083;   0.64;   83;Liller 1
263.61700;-39.06900;NGC 6380    ;Ton 1     ;263.617;-39.069; -2.183;  0.031; -3.233;  0.030;   0.01;  0.099;  0.014;   0.96;  109;NGC 6380
263.94600;-30.48100;Terzan 1    ;HP 2      ;263.946;-30.481; -2.806;  0.055; -4.861;  0.055;   0.01;  0.044;  0.022;   0.92;   34;Terzan 1
264.04400;-38.55300;Ton 2       ;Pismis 26 ;264.044;-38.553; -5.904;  0.031; -0.755;  0.029;   0.03;  0.143;  0.015;   1.12;   83;Ton 2
264.07200;-44.73600;NGC 6388    ;          ;264.072;-44.736; -1.316;  0.026; -2.709;  0.026;  -0.01;  0.100;  0.011;   3.34;  537;NGC 6388
264.40000;-03.24600;NGC 6402    ;M 14      ;264.400;-03.246; -3.590;  0.025; -5.059;  0.025;   0.01;  0.129;  0.011;   3.00;  646;NGC 6402
264.65200;-23.91000;NGC 6401    ;          ;264.652;-23.910; -2.748;  0.035;  1.444;  0.034;   0.01;  0.149;  0.013;   1.34;   40;NGC 6401
265.17500;-53.67400;NGC 6397    ;          ;265.175;-53.674;  3.260;  0.023;-17.664;  0.022;   0.00;  0.416;  0.010;   6.92;12318;NGC 6397
265.27600;-28.84500;VVV CL002   ;          ;265.276;-28.845; -8.867;  0.142;  2.390;  0.085;   0.17;  0.140;  0.099;   0.41;   14;VVV CL002
265.92600;-26.22300;Pal 6       ;          ;265.926;-26.223; -9.222;  0.038; -5.347;  0.036;   0.03;  0.104;  0.017;   0.97;   29;Pal 6
266.22800;+03.17000;NGC 6426    ;          ;266.228;+03.170; -1.828;  0.026; -2.999;  0.026;   0.02;  0.051;  0.012;   0.90;  130;NGC 6426
266.86800;-33.06600;Djorg 1     ;          ;266.868;-33.066; -4.693;  0.046; -8.468;  0.041;   0.02;  0.094;  0.027;   0.89;   64;Djorg 1
267.02000;-24.77900;Terzan 5    ;Terzan 11 ;267.020;-24.779; -1.989;  0.068; -5.243;  0.066;   0.06;  0.145;  0.022;   1.41;   45;Terzan 5
267.22000;-20.36000;NGC 6440    ;          ;267.220;-20.360; -1.187;  0.036; -4.020;  0.035;   0.01;  0.149;  0.013;   1.54;   86;NGC 6440
267.55400;-37.05100;NGC 6441    ;          ;267.554;-37.051; -2.551;  0.028; -5.348;  0.028;   0.03;  0.083;  0.011;   3.02;  119;NGC 6441
267.69300;-31.27500;Terzan 6    ;HP 5      ;267.693;-31.275; -4.979;  0.048; -7.431;  0.039;   0.14;  0.076;  0.033;   0.71;   49;Terzan 6
267.71500;-34.59900;NGC 6453    ;          ;267.715;-34.599;  0.203;  0.036; -5.934;  0.037;  -0.04;  0.098;  0.013;   1.09;   23;NGC 6453
268.61300;-24.14500;UKS 1       ;          ;268.613;-24.145; -2.023;  0.107; -2.760;  0.069;  -0.24;  0.056;  0.091;   0.61;  112;UKS 1
268.67700;-24.01500;VVV CL001   ;          ;268.677;-24.015; -3.486;  0.155; -1.675;  0.106;   0.08;  0.158;  0.114;   0.39;   27;VVV CL001
269.65300;-32.02000;Gran 1      ;          ;269.653;-32.020; -8.163;  0.038; -8.045;  0.036;   0.00;  0.076;  0.025;   0.47;   19;Gran 1
269.66400;-05.07000;Pfleiderer 2;          ;269.664;-05.070; -2.784;  0.034; -4.158;  0.031;   0.09;  0.094;  0.022;   1.41;  108;Pfleiderer 2
269.76500;-44.26600;NGC 6496    ;          ;269.765;-44.266; -3.060;  0.027; -9.271;  0.026;   0.01;  0.119;  0.013;   1.73;  461;NGC 6496
270.41200;-26.84000;Terzan 9    ;          ;270.412;-26.840; -2.121;  0.052; -7.763;  0.049;   0.03;  0.155;  0.017;   0.80;   33;Terzan 9
270.45500;-27.82600;Djorg 2     ;ESO 456-38;270.455;-27.826;  0.662;  0.042; -2.983;  0.037;   0.00;  0.122;  0.018;   0.73;   16;Djorg 2
270.46100;-08.95900;NGC 6517    ;          ;270.461;-08.959; -1.551;  0.029; -4.470;  0.028;   0.03;  0.115;  0.012;   1.17;  147;NGC 6517
270.74200;-26.07300;Terzan 10   ;          ;270.742;-26.073; -6.827;  0.059; -2.588;  0.050;   0.01;  0.145;  0.044;   1.06;   48;Terzan 10
270.89200;-30.03400;NGC 6522    ;          ;270.892;-30.034;  2.566;  0.039; -6.438;  0.036;  -0.02;  0.125;  0.013;   1.09;   63;NGC 6522
270.96000;-00.29800;NGC 6535    ;          ;270.960;-00.298; -4.214;  0.027; -2.939;  0.026;   0.01;  0.163;  0.012;   1.22;  400;NGC 6535
271.20700;-30.05600;NGC 6528    ;          ;271.207;-30.056; -2.157;  0.043; -5.649;  0.039;  -0.03;  0.125;  0.018;   0.70;   24;NGC 6528
